state_or_territory,symptomatic_disease_cases,presumptive_viremic_blood_donors
Alabama,3,0
Alaska,1,0
Arizona,1,0
Arkansas,0,0
California,13,1
Colorado,3,0
Connecticut,0,0
Delaware,0,0
District of Columbia,0,0
Florida,13,3
Georgia,1,0
Hawaii,0,0
Idaho,0,0
Illinois,4,0
Indiana,1,0
Iowa,1,0
Kansas,2,0
Kentucky,1,0
Louisiana,1,0
Maine,1,0
Maryland,3,0
Massachusetts,5,0
Michigan,6,0
Minnesota,0,0
Mississippi,2,0
Missouri,1,0
Montana,0,0
Nebraska,0,0
Nevada,0,0
New Hampshire,0,0
New Jersey,2,0
New Mexico,0,0
New York,23,1
North Carolina,3,0
North Dakota,0,0
Ohio,3,0
Oklahoma,0,0
Oregon,1,0
Pennsylvania,3,0
Rhode Island,2,0
South Carolina,0,0
South Dakota,0,0
Tennessee,0,0
Texas,10,1
Utah,0,0
Vermont,2,0
Virginia,3,0
Washington,2,0
West Virginia,0,1
Wisconsin,2,0
Wyoming,0,0
American Samoa,3,0
Puerto Rico,458,3
U.S. Virgin Islands,34,0
