state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,30,0
Arizona,52,0
Arkansas,13,0
California,389,0
Colorado,53,0
Connecticut,58,0
Delaware,17,0
District of Columbia,28,0
Florida,825,210
Georgia,106,0
Hawaii,16,0
Idaho,4,0
Illinois,88,0
Indiana,49,0
Iowa,20,0
Kansas,18,0
Kentucky,24,0
Louisiana,35,0
Maine,13,0
Maryland,126,0
Massachusetts,110,0
Michigan,63,0
Minnesota,64,0
Mississippi,23,0
Missouri,36,0
Montana,7,0
Nebraska,13,0
Nevada,18,0
New Hampshire,12,0
New Jersey,164,0
New Mexico,9,0
New York,967,0
North Carolina,83,0
North Dakota,2,0
Ohio,78,0
Oklahoma,29,0
Oregon,41,0
Pennsylvania††,164,0
Rhode Island,48,0
South Carolina,54,0
South Dakota,2,0
Tennessee,58,0
Texas,277,5
Utah,20,0
Vermont,10,0
Virginia,103,0
Washington,61,0
West Virginia,11,0
Wisconsin,48,0
Wyoming,2,0
American Samoa,1,114
Puerto Rico,128,33487
US Virgin Islands,2,862
