state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,9,0
Arizona,10,0
Arkansas,5,0
California,87,0
Colorado,18,0
Connecticut,38,0
Delaware,10,0
District of Columbia,10,0
Florida,307,0
Georgia,41,0
Hawaii,10,0
Illinois,29,0
Indiana,15,0
Iowa,9,0
Kansas,6,0
Kentucky,10,0
Louisiana,9,0
Maine,7,0
Maryland,48,0
Massachusetts,52,0
Michigan,14,0
Minnesota,21,0
Mississippi,11,0
Missouri,8,0
Montana,1,0
Nebraska,4,0
Nevada,11,0
New Hampshire,7,0
New Jersey,50,0
New Mexico,3,0
New York,449,0
North Carolina,21,0
North Dakota,1,0
Ohio,26,0
Oklahoma,13,0
Oregon,12,0
Pennsylvania††,48,0
Rhode Island,16,0
South Carolina,26,0
Tennessee,16,0
Texas,76,0
Utah,6,0
Vermont,6,0
Virginia,48,0
Washington,14,0
West Virginia,9,0
Wisconsin,11,0
American Samoa,2,42
Puerto Rico,18,4666
US Virgin Islands,1,21
