state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,30,0
Arizona,49,0
Arkansas,13,0
California,368,0
Colorado,50,0
Connecticut,58,0
Delaware,17,0
District of Columbia,27,0
Florida,785,184
Georgia,102,0
Hawaii,14,0
Idaho,4,0
Illinois,83,0
Indiana,47,0
Iowa,17,0
Kansas,17,0
Kentucky,24,0
Louisiana,35,0
Maine,12,0
Maryland,110,0
Massachusetts,105,0
Michigan,63,0
Minnesota,55,0
Mississippi,23,0
Missouri,36,0
Montana,7,0
Nebraska,13,0
Nevada,18,0
New Hampshire,12,0
New Jersey,164,0
New Mexico,9,0
New York,921,0
North Carolina,81,0
North Dakota,2,0
Ohio,74,0
Oklahoma,29,0
Oregon,37,0
Pennsylvania††,157,0
Rhode Island,35,0
South Carolina,53,0
South Dakota,2,0
Tennessee,58,0
Texas,258,1
Utah,16,0
Vermont,10,0
Virginia,94,0
Washington,58,0
West Virginia,11,0
Wisconsin,46,0
Wyoming,2,0
American Samoa,0,54
Puerto Rico,123,32473
US Virgin Islands,2,603
