state_or_territory,symptomatic_disease_cases,presumptive_viremic_blood_donors
Alabama,3,0
Alaska,1,0
Arizona,1,0
Arkansas,0,0
California,25,2
Colorado,4,0
Connecticut,0,0
Delaware,0,0
District of Columbia,1,0
Florida,53,3
Georgia,1,0
Hawaii,2,0
Idaho,0,0
Illinois,3,0
Indiana,2,0
Iowa,1,0
Kansas,2,0
Kentucky,2,0
Louisiana,1,0
Maine,1,0
Maryland,9,0
Massachusetts,9,0
Michigan,7,0
Minnesota,6,0
Mississippi,2,0
Missouri,1,0
Montana,0,0
Nebraska,1,0
Nevada,1,0
New Hampshire,0,0
New Jersey,6,0
New Mexico,0,0
New York,47,1
North Carolina,5,0
North Dakota,0,0
Ohio,3,0
Oklahoma,1,0
Oregon,4,0
Pennsylvania,5,1
Rhode Island,3,0
South Carolina,2,0
South Dakota,0,0
Tennessee,0,0
Texas,27,1
Utah,4,0
Vermont,3,0
Virginia,6,0
Washington,7,0
West Virginia,1,1
Wisconsin,3,0
Wyoming,2,0
American Samoa,39,0
Puerto Rico,476,6
U.S. Virgin Islands,41,0
