state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,2,0
Arizona,1,0
Arkansas,2,0
California,29,0
Colorado,2,0
Connecticut,1,0
Delaware,3,0
District of Columbia,3,0
Florida,84,0
Georgia,13,0
Hawaii,7,0
Illinois,12,0
Indiana,6,0
Iowa,4,0
Kansas,1,0
Kentucky,3,0
Louisiana,4,0
Maine,2,0
Maryland,8,0
Massachusetts,7,0
Michigan,3,0
Minnesota,13,0
Mississippi,3,0
Missouri,3,0
Montana,1,0
Nebraska,2,0
Nevada,2,0
New Hampshire,2,0
New Jersey,8,0
New Mexico,1,0
New York,60,0
North Carolina,10,0
Ohio,10,0
Oklahoma,4,0
Oregon,6,0
Pennsylvania,15,0
Tennessee,2,0
Texas,30,0
Utah,2,0
Virginia,10,0
Washington,2,0
West Virginia,5,0
American Samoa,0,14
Puerto Rico,2,474
US Virgin Islands,1,12
