state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,2,0
Arizona,6,0
Arkansas,5,0
California,69,0
Colorado,10,0
Connecticut,27,0
Delaware,5,0
District of Columbia,7,0
Florida,206,0
Georgia,29,0
Hawaii,10,0
Illinois,23,0
Indiana,10,0
Iowa,9,0
Kansas,5,0
Kentucky,7,0
Louisiana,6,0
Maine,6,0
Maryland,31,0
Massachusetts,39,0
Michigan,10,0
Minnesota,21,0
Mississippi,5,0
Missouri,6,0
Montana,1,0
Nebraska,2,0
Nevada,7,0
New Hampshire,4,0
New Jersey,45,0
New Mexico,3,0
New York,285,0
North Carolina,17,0
Ohio,21,0
Oklahoma,12,0
Oregon,7,0
Pennsylvania††,35,0
Rhode Island,16,0
South Carolina,6,0
Tennessee,10,0
Texas,53,0
Utah,3,0
Vermont,2,0
Virginia,33,0
Washington,9,0
West Virginia,6,0
Wisconsin,2,0
American Samoa,0,31
Puerto Rico,7,2474
US Virgin Islands,1,21
