state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,36,0
Arizona,53,0
Arkansas,15,0
California,411,0
Colorado,50,0
Connecticut,58,0
Delaware,17,0
District of Columbia,31,0
Florida,855,214
Georgia,107,0
Hawaii,16,0
Idaho,4,0
Illinois,94,0
Indiana,51,0
Iowa,21,0
Kansas,21,0
Kentucky,32,0
Louisiana,38,0
Maine,13,0
Maryland,130,0
Massachusetts,119,0
Michigan,65,0
Minnesota,64,0
Mississippi,23,0
Missouri,36,0
Montana,8,0
Nebraska,13,0
Nevada,21,0
New Hampshire,12,0
New Jersey,175,0
New Mexico,9,0
New York,1006,0
North Carolina,88,0
North Dakota,2,0
Ohio,83,0
Oklahoma,29,0
Oregon,44,0
Pennsylvania††,173,0
Rhode Island,52,0
South Carolina,54,0
South Dakota,2,0
Tennessee,60,0
Texas,297,6
Utah,21,0
Vermont,11,0
Virginia,108,0
Washington,64,0
West Virginia,11,0
Wisconsin,48,0
Wyoming,2,0
American Samoa,1,119
Puerto Rico,137,35197
US Virgin Islands,2,958
