state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,15,0
Arizona,20,0
Arkansas,9,0
California,152,0
Colorado,24,0
Connecticut,50,0
Delaware,11,0
District of Columbia,11,0
Florida,471,29
Georgia,54,0
Hawaii,11,0
Idaho,1,0
Illinois,49,0
Indiana,28,0
Iowa,13,0
Kansas,11,0
Kentucky,19,0
Louisiana,25,0
Maine,10,0
Maryland,77,0
Massachusetts,63,0
Michigan,31,0
Minnesota,31,0
Mississippi,17,0
Missouri,20,0
Montana,4,0
Nebraska,7,0
Nevada,13,0
New Hampshire,8,0
New Jersey,91,0
New Mexico,3,0
New York,601,0
North Carolina,35,0
North Dakota,1,0
Ohio,33,0
Oklahoma,20,0
Oregon,19,0
Pennsylvania††,77,0
Rhode Island,28,0
South Carolina,31,0
South Dakota,1,0
Tennessee,35,0
Texas,125,0
Utah,7,0
Vermont,7,0
Virginia,66,0
Washington,21,0
West Virginia,11,0
Wisconsin,21,0
American Samoa,0,46
Puerto Rico,42,8746
US Virgin Islands,1,176
