state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,27,0
Arizona,29,0
Arkansas,10,0
California,243,0
Colorado,35,0
Connecticut,58,0
Delaware,13,0
District of Columbia,23,0
Florida,652,43
Georgia,79,0
Hawaii,12,0
Idaho,3,0
Illinois,67,0
Indiana,33,0
Iowa,16,0
Kansas,14,0
Kentucky,24,0
Louisiana,29,0
Maine,11,0
Maryland,99,0
Massachusetts,67,0
Michigan,56,0
Minnesota,47,0
Mississippi,21,0
Missouri,27,0
Montana,7,0
Nebraska,8,0
Nevada,14,0
New Hampshire,8,0
New Jersey,117,0
New Mexico,6,0
New York,715,0
North Carolina,61,0
North Dakota,1,0
Ohio,41,0
Oklahoma,26,0
Oregon,27,0
Pennsylvania††,106,0
Rhode Island,29,0
South Carolina,31,0
South Dakota,1,0
Tennessee,49,0
Texas,195,0
Utah,12,0
Vermont,7,0
Virginia,81,0
Washington,34,0
West Virginia,11,0
Wisconsin,31,0
Wyoming,2,0
American Samoa,0,46
Puerto Rico,70,19395
US Virgin Islands,1,265
