state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,11,0
Arizona,10,0
Arkansas,5,0
California,87,0
Colorado,20,0
Connecticut,49,0
Delaware,10,0
District of Columbia,11,0
Florida,322,6
Georgia,46,0
Hawaii,10,0
Idaho,1,0
Illinois,44,0
Indiana,22,0
Iowa,9,0
Kansas,8,0
Kentucky,10,0
Louisiana,22,0
Maine,9,0
Maryland,57,0
Massachusetts,58,0
Michigan,20,0
Minnesota,29,0
Mississippi,14,0
Missouri,14,0
Montana,4,0
Nebraska,6,0
Nevada,12,0
New Hampshire,8,0
New Jersey,54,0
New Mexico,3,0
New York,530,0
North Carolina,33,0
North Dakota,1,0
Ohio,26,0
Oklahoma,17,0
Oregon,14,0
Pennsylvania††,63,0
Rhode Island,18,0
South Carolina,31,0
Tennessee,27,0
Texas,99,0
Utah,6,0
Vermont,6,0
Virginia,58,0
Washington,16,0
West Virginia,9,0
Wisconsin,17,0
American Samoa,0,44
Puerto Rico,30,6475
US Virgin Islands,1,68
