state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,2,0
Arizona,2,0
Arkansas,5,0
California,48,0
Colorado,5,0
Connecticut,1,0
Delaware,4,0
District of Columbia,6,0
Florida,141,0
Georgia,20,0
Hawaii,10,0
Illinois,19,0
Indiana,10,0
Iowa,7,0
Kansas,2,0
Kentucky,6,0
Louisiana,6,0
Maine,6,0
Maryland,25,0
Massachusetts,27,0
Michigan,7,0
Minnesota,19,0
Mississippi,3,0
Missouri,4,0
Montana,1,0
Nebraska,2,0
Nevada,7,0
New Hampshire,4,0
New Jersey,17,0
New Mexico,3,0
New York,174,0
North Carolina,15,0
Ohio,14,0
Oklahoma,6,0
Oregon,7,0
Pennsylvania††,23,0
Rhode Island,8,0
South Carolina,1,0
Tennessee,4,0
Texas,42,0
Utah,2,0
Vermont,1,0
Virginia,26,0
Washington,5,0
West Virginia,6,0
Wisconsin,2,0
American Samoa,0,29
Puerto Rico,3,1386
US Virgin Islands,1,21
