state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,11,0
Arizona,10,0
Arkansas,5,0
California,87,0
Colorado,19,0
Connecticut,39,0
Delaware,10,0
District of Columbia,10,0
Florida,322,6
Georgia,42,0
Hawaii,10,0
Illinois,33,0
Indiana,20,0
Iowa,9,0
Kansas,8,0
Kentucky,10,0
Louisiana,9,0
Maine,9,0
Maryland,54,0
Massachusetts,54,0
Michigan,17,0
Minnesota,29,0
Mississippi,14,0
Missouri,10,0
Montana,1,0
Nebraska,4,0
Nevada,11,0
New Hampshire,8,0
New Jersey,50,0
New Mexico,3,0
New York,491,0
North Carolina,30,0
North Dakota,1,0
Ohio,26,0
Oklahoma,13,0
Oregon,14,0
Pennsylvania††,58,0
Rhode Island,18,0
South Carolina,28,0
Tennessee,22,0
Texas,89,0
Utah,6,0
Vermont,6,0
Virginia,57,0
Washington,16,0
West Virginia,9,0
Wisconsin,17,0
American Samoa,0,44
Puerto Rico,22,5460
US Virgin Islands,1,21
