state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,8,0
Arizona,7,0
Arkansas,5,0
California,69,0
Colorado,17,0
Connecticut,30,0
Delaware,10,0
District of Columbia,9,0
Florida,270,0
Georgia,39,0
Hawaii,10,0
Illinois,23,0
Indiana,13,0
Iowa,9,0
Kansas,5,0
Kentucky,9,0
Louisiana,8,0
Maine,7,0
Maryland,36,0
Massachusetts,49,0
Michigan,13,0
Minnesota,21,0
Mississippi,9,0
Missouri,8,0
Montana,1,0
Nebraska,3,0
Nevada,9,0
New Hampshire,5,0
New Jersey,50,0
New Mexico,3,0
New York,345,0
North Carolina,18,0
North Dakota,1,0
Ohio,26,0
Oklahoma,12,0
Oregon,12,0
Pennsylvania††,42,0
Rhode Island,17,0
South Carolina,13,0
Tennessee,14,0
Texas,69,0
Utah,6,0
Vermont,3,0
Virginia,40,0
Washington,13,0
West Virginia,7,0
Wisconsin,11,0
American Samoa,2,42
Puerto Rico,9,3752
US Virgin Islands,1,21
