state_or_territory,symptomatic_disease_cases,presumptive_viremic_blood_donors
Alabama,3,0
Alaska,1,0
Arizona,1,0
Arkansas,0,0
California,22,2
Colorado,4,0
Connecticut,0,0
Delaware,0,0
District of Columbia,0,0
Florida,31,3
Georgia,2,0
Hawaii,1,0
Idaho,0,0
Illinois,3,0
Indiana,1,0
Iowa,1,0
Kansas,2,0
Kentucky,1,0
Louisiana,1,0
Maine,1,0
Maryland,8,0
Massachusetts,7,0
Michigan,7,0
Minnesota,5,0
Mississippi,2,0
Missouri,1,0
Montana,0,0
Nebraska,1,0
Nevada,1,0
New Hampshire,0,0
New Jersey,6,0
New Mexico,0,0
New York,43,1
North Carolina,5,0
North Dakota,0,0
Ohio,3,0
Oklahoma,1,0
Oregon,3,0
Pennsylvania,4,1
Rhode Island,3,0
South Carolina,2,0
South Dakota,0,0
Tennessee,0,0
Texas,18,1
Utah,3,0
Vermont,3,0
Virginia,5,0
Washington,3,0
West Virginia,1,1
Wisconsin,3,0
Wyoming,2,0
American Samoa,39,0
Puerto Rico,475,3
U.S. Virgin Islands,41,0
