state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,2,0
Arizona,2,0
Arkansas,5,0
California,48,0
Colorado,4,0
Connecticut,1,0
Delaware,4,0
District of Columbia,6,0
Florida,132,0
Georgia,17,0
Hawaii,10,0
Illinois,16,0
Indiana,7,0
Iowa,7,0
Kansas,2,0
Kentucky,6,0
Louisiana,4,0
Maine,6,0
Maryland,21,0
Massachusetts,20,0
Michigan,7,0
Minnesota,17,0
Mississippi,3,0
Missouri,4,0
Montana,1,0
Nebraska,2,0
Nevada,6,0
New Hampshire,4,0
New Jersey,17,0
New Mexico,3,0
New York,164,0
North Carolina,11,0
Ohio,14,0
Oklahoma,5,0
Oregon,6,0
Pennsylvania,23,0
Rhode Island,4,0
South Carolina,1,0
Tennessee,4,0
Texas,40,0
Utah,2,0
Vermont,1,0
Virginia,20,0
Washington,4,0
West Virginia,6,0
Wisconsin,2,0
American Samoa,0,21
Puerto Rico,3,1259
US Virgin Islands,1,21
