state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,1,0
Arkansas,1,0
California,10,0
Colorado,2,0
Delaware,1,0
District of Columbia,3,0
Florida,42,0
Georgia,2,0
Hawaii,4,0
Illinois,5,0
Indiana,2,0
Iowa,3,0
Louisiana,1,0
Maryland,3,0
Massachusetts,3,0
Michigan,1,0
Minnesota,3,0
Montana,1,0
Nebraska,2,0
New Jersey,1,0
New York,23,0
North Carolina,2,0
Ohio,5,0
Oregon,5,0
Pennsylvania,5,0
Tennessee,1,0
Texas,15,0
Virginia,5,0
Washington,1,0
American Samoa,0,4
Puerto Rico,1,102
US Virgin Islands,0,1
