state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,30,0
Arizona,52,0
Arkansas,15,0
California,393,0
Colorado,49,0
Connecticut,58,0
Delaware,17,0
District of Columbia,31,0
Florida,833,210
Georgia,106,0
Hawaii,16,0
Idaho,4,0
Illinois,90,0
Indiana,50,0
Iowa,21,0
Kansas,19,0
Kentucky,31,0
Louisiana,35,0
Maine,13,0
Maryland,129,0
Massachusetts,117,0
Michigan,65,0
Minnesota,64,0
Mississippi,23,0
Missouri,35,0
Montana,7,0
Nebraska,13,0
Nevada,19,0
New Hampshire,12,0
New Jersey,173,0
New Mexico,9,0
New York,997,0
North Carolina,86,0
North Dakota,2,0
Ohio,82,0
Oklahoma,29,0
Oregon,42,0
Pennsylvania††,167,0
Rhode Island,50,0
South Carolina,54,0
South Dakota,2,0
Tennessee,59,0
Texas,290,6
Utah,20,0
Vermont,11,0
Virginia,107,0
Washington,62,0
West Virginia,11,0
Wisconsin,48,0
Wyoming,2,0
American Samoa,1,114
Puerto Rico,132,34249
US Virgin Islands,2,917
