state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,28,0
Arizona,40,0
Arkansas,13,0
California,309,0
Colorado,46,0
Connecticut,58,0
Delaware,16,0
District of Columbia,25,0
Florida,708,139
Georgia,93,0
Hawaii,14,0
Idaho,4,0
Illinois,76,0
Indiana,40,0
Iowa,17,0
Kansas,16,0
Kentucky,24,0
Louisiana,34,0
Maine,12,0
Maryland,105,0
Massachusetts,101,0
Michigan,62,0
Minnesota,47,0
Mississippi,23,0
Missouri,32,0
Montana,7,0
Nebraska,12,0
Nevada,15,0
New Hampshire,10,0
New Jersey,134,0
New Mexico,9,0
New York,886,0
North Carolina,72,0
North Dakota,2,0
Ohio,67,0
Oklahoma,27,0
Oregon,31,0
Pennsylvania††,147,0
Rhode Island,32,0
South Carolina,53,0
South Dakota,2,0
Tennessee,53,0
Texas,232,0
Utah,14,0
Vermont,9,0
Virginia,88,0
Washington,51,0
West Virginia,11,0
Wisconsin,43,0
Wyoming,2,0
American Samoa,7,47
Puerto Rico,87,28111
US Virgin Islands,2,469
