state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,30,0
Arizona,42,0
Arkansas,13,0
California,325,0
Colorado,46,0
Connecticut,58,0
Delaware,16,0
District of Columbia,25,0
Florida,708,139
Georgia,101,0
Hawaii,14,0
Idaho,4,0
Illinois,81,0
Indiana,46,0
Iowa,17,0
Kansas,17,0
Kentucky,24,0
Louisiana,32,0
Maine,11,0
Maryland,107,0
Massachusetts,98,0
Michigan,62,0
Minnesota,53,0
Mississippi,23,0
Missouri,34,0
Montana,7,0
Nebraska,12,0
Nevada,15,0
New Hampshire,11,0
New Jersey,157,0
New Mexico,9,0
New York,870,0
North Carolina,73,0
North Dakota,2,0
Ohio,71,0
Oklahoma,29,0
Oregon,34,0
Pennsylvania††,149,0
Rhode Island,33,0
South Carolina,53,0
South Dakota,2,0
Tennessee,55,0
Texas,237,0
Utah,15,0
Vermont,10,0
Virginia,92,0
Washington,55,0
West Virginia,11,0
Wisconsin,45,0
Wyoming,2,0
American Samoa,0,54
Puerto Rico,103,30439
US Virgin Islands,2,600
