state_or_territory,symptomatic_disease_cases,presumptive_viremic_blood_donors
Alabama,38,0
Arizona,55,1
Arkansas,15,0
California,420,5
Colorado,54,0
Connecticut,58,0
Delaware,17,0
District of Columbia,31,0
Florida‡,1069,24
Georgia,108,0
Hawaii,16,0
Idaho,4,0
Illinois,94,0
Indiana,53,0
Iowa,21,0
Kansas,21,0
Kentucky,32,0
Louisiana,39,0
Maine,14,0
Maryland,130,0
Massachusetts,120,0
Michigan,66,0
Minnesota,64,0
Mississippi,25,0
Missouri,36,0
Montana,9,0
Nebraska,13,0
Nevada,22,1
New Hampshire,12,0
New Jersey,176,0
New Mexico,10,0
New York,1020,2
North Carolina,91,0
North Dakota,2,0
Ohio,84,0
Oklahoma,29,0
Oregon,46,0
Pennsylvania,173,0
Rhode Island,54,0
South Carolina,54,0
South Dakota,2,0
Tennessee,61,0
Texas‡,306,3
Utah,22,0
Vermont,11,0
Virginia,112,0
Washington,70,0
West Virginia,11,0
Wisconsin,48,0
Wyoming,2,0
American Samoa,120,0
Puerto Rico,35930,318
US Virgin Islands,973,0
