state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,27,0
Arizona,31,0
Arkansas,10,0
California,267,0
Colorado,36,0
Connecticut,58,0
Delaware,13,0
District of Columbia,23,0
Florida,672,59
Georgia,81,0
Hawaii,12,0
Idaho,3,0
Illinois,70,0
Indiana,34,0
Iowa,16,0
Kansas,15,0
Kentucky,24,0
Louisiana,31,0
Maine,11,0
Maryland,101,0
Massachusetts,76,0
Michigan,57,0
Minnesota,47,0
Mississippi,23,0
Missouri,27,0
Montana,7,0
Nebraska,11,0
Nevada,14,0
New Hampshire,9,0
New Jersey,133,0
New Mexico,6,0
New York,811,0
North Carolina,66,0
North Dakota,1,0
Ohio,52,0
Oklahoma,26,0
Oregon,27,0
Pennsylvania††,129,0
Rhode Island,32,0
South Carolina,31,0
South Dakota,1,0
Tennessee,51,0
Texas,204,0
Utah,13,0
Vermont,7,0
Virginia,85,0
Washington,34,0
West Virginia,11,0
Wisconsin,38,0
Wyoming,2,0
American Samoa,6,47
Puerto Rico,74,21535
US Virgin Islands,1,406
