state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,2,0
Arizona,6,0
Arkansas,5,0
California,55,0
Colorado,8,0
Connecticut,1,0
Delaware,5,0
District of Columbia,6,0
Florida,182,0
Georgia,26,0
Hawaii,10,0
Illinois,16,0
Indiana,10,0
Iowa,7,0
Kansas,5,0
Kentucky,6,0
Louisiana,6,0
Maine,6,0
Maryland,31,0
Massachusetts,32,0
Michigan,10,0
Minnesota,19,0
Mississippi,3,0
Missouri,5,0
Montana,1,0
Nebraska,2,0
Nevada,7,0
New Hampshire,4,0
New Jersey,21,0
New Mexico,3,0
New York,236,0
North Carolina,16,0
Ohio,16,0
Oklahoma,6,0
Oregon,7,0
Pennsylvania††,31,0
Rhode Island,15,0
South Carolina,6,0
Tennessee,8,0
Texas,49,0
Utah,2,0
Vermont,2,0
Virginia,27,0
Washington,6,0
West Virginia,6,0
Wisconsin,2,0
American Samoa,0,29
Puerto Rico,5,1970
US Virgin Islands,1,21
