state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,30,0
Arizona,51,0
Arkansas,15,0
California,389,0
Colorado,53,0
Connecticut,58,0
Delaware,17,0
District of Columbia,28,0
Florida,825,210
Georgia,106,0
Hawaii,16,0
Idaho,4,0
Illinois,88,0
Indiana,49,0
Iowa,21,0
Kansas,19,0
Kentucky,24,0
Louisiana,35,0
Maine,13,0
Maryland,126,0
Massachusetts,114,0
Michigan,64,0
Minnesota,64,0
Mississippi,23,0
Missouri,35,0
Montana,7,0
Nebraska,13,0
Nevada,18,0
New Hampshire,12,0
New Jersey,177,0
New Mexico,9,0
New York,983,0
North Carolina,85,0
North Dakota,2,0
Ohio,80,0
Oklahoma,29,0
Oregon,42,0
Pennsylvania††,166,0
Rhode Island,50,0
South Carolina,54,0
South Dakota,2,0
Tennessee,59,0
Texas,283,6
Utah,20,0
Vermont,10,0
Virginia,103,0
Washington,61,0
West Virginia,11,0
Wisconsin,48,0
Wyoming,2,0
American Samoa,1,114
Puerto Rico,129,33865
US Virgin Islands,2,862
