state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,28,0
Arizona,36,0
Arkansas,11,0
California,296,0
Colorado,41,0
Connecticut,58,0
Delaware,15,0
District of Columbia,25,0
Florida,708,128
Georgia,88,0
Hawaii,14,0
Idaho,3,0
Illinois,75,0
Indiana,39,0
Iowa,16,0
Kansas,15,0
Kentucky,24,0
Louisiana,32,0
Maine,11,0
Maryland,103,0
Massachusetts,99,0
Michigan,60,0
Minnesota,47,0
Mississippi,23,0
Missouri,27,0
Montana,7,0
Nebraska,11,0
Nevada,14,0
New Hampshire,10,0
New Jersey,134,0
New Mexico,7,0
New York,858,0
North Carolina,66,0
North Dakota,2,0
Ohio,53,0
Oklahoma,27,0
Oregon,29,0
Pennsylvania††,135,0
Rhode Island,32,0
South Carolina,48,0
South Dakota,2,0
Tennessee,53,0
Texas,228,0
Utah,15,0
Vermont,7,0
Virginia,86,0
Washington,34,0
West Virginia,11,0
Wisconsin,43,0
Wyoming,2,0
American Samoa,7,47
Puerto Rico,75,25355
US Virgin Islands,2,469
