state_or_territory,symptomatic_disease_cases,presumptive_viremic_blood_donors
Alabama,40,1
Arizona,55,1
Arkansas,15,0
California,447,5
Colorado,59,0
Connecticut,58,0
Delaware,17,0
District of Columbia,43,0
Florida‡,1134,26
Georgia,110,6
Hawaii,16,0
Idaho,4,0
Illinois,105,0
Indiana,51,0
Iowa,27,1
Kansas,22,0
Kentucky,34,0
Louisiana,39,0
Maine,14,0
Maryland,134,0
Massachusetts,128,1
Michigan,73,0
Minnesota,64,0
Mississippi,25,0
Missouri,38,0
Montana,9,0
Nebraska,13,0
Nevada,22,1
New Hampshire,13,0
New Jersey,189,0
New Mexico,10,0
New York,1021,3
North Carolina,100,0
North Dakota,3,0
Ohio,85,0
Oklahoma,29,0
Oregon,49,0
Pennsylvania,179,0
Rhode Island,57,0
South Carolina,59,0
South Dakota,3,0
Tennessee,61,0
Texas‡,326,5
Utah,22,0
Vermont,13,0
Virginia,116,0
Washington,72,0
West Virginia,11,1
Wisconsin,58,0
Wyoming,2,0
American Samoa,132,0
Puerto Rico,35422,325
US Virgin Islands,1020,0
