state_or_territory,symptomatic_disease_cases,presumptive_viremic_blood_donors
Alabama,38,0
Arizona,55,1
Arkansas,15,0
California,421,5
Colorado,55,0
Connecticut,58,0
Delaware,17,0
District of Columbia,31,0
Florida‡,1073,24
Georgia,109,0
Hawaii,16,0
Idaho,4,0
Illinois,94,0
Indiana,53,0
Iowa,21,1
Kansas,21,0
Kentucky,32,0
Louisiana,39,0
Maine,14,0
Maryland,130,0
Massachusetts,121,0
Michigan,67,0
Minnesota,64,0
Mississippi,25,0
Missouri,36,0
Montana,9,0
Nebraska,13,0
Nevada,22,1
New Hampshire,12,0
New Jersey,180,0
New Mexico,10,0
New York,999,2
North Carolina,91,0
North Dakota,3,0
Ohio,85,0
Oklahoma,29,0
Oregon,47,0
Pennsylvania,173,0
Rhode Island,54,0
South Carolina,54,0
South Dakota,2,0
Tennessee,61,0
Texas‡,309,3
Utah,22,0
Vermont,11,0
Virginia,113,0
Washington,70,0
West Virginia,11,0
Wisconsin,50,0
Wyoming,2,0
American Samoa,120,0
Puerto Rico,36343,318
US Virgin Islands,984,0
