state_or_territory,symptomatic_disease_cases,presumptive_viremic_blood_donors
Alabama,3,3
Alaska,1,0
Arizona,3,0
Arkansas,0,0
California,51,4
Colorado,6,0
Connecticut,0,0
Delaware,0,0
District of Columbia,3,0
Florida‡,107,5
Georgia,2,0
Hawaii,3,0
Idaho,0,0
Illinois,7,0
Indiana,3,0
Iowa,1,0
Kansas,2,0
Kentucky,2,0
Louisiana,1,5
Maine,1,0
Maryland,12,1
Massachusetts,10,0
Michigan,7,0
Minnesota,6,0
Mississippi,2,0
Missouri,2,0
Montana,0,0
Nebraska,1,0
Nevada,1,0
New Hampshire,0,0
New Jersey,11,0
New Mexico,0,0
New York,61,1
North Carolina,8,0
North Dakota,0,0
Ohio,3,0
Oklahoma,1,0
Oregon,5,0
Pennsylvania,6,1
Rhode Island,3,0
South Carolina,2,0
South Dakota,0,0
Tennessee,1,0
Texas‡,47,2
Utah,4,0
Vermont,3,0
Virginia,6,0
Washington,13,0
West Virginia,1,1
Wisconsin,4,0
Wyoming,2,0
American Samoa,73,0
Puerto Rico,519,6
U.S. Virgin Islands,45,0
