state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,11,0
Arizona,17,0
Arkansas,9,0
California,137,0
Colorado,21,0
Connecticut,49,0
Delaware,10,0
District of Columbia,11,0
Florida,405,14
Georgia,48,0
Hawaii,10,0
Idaho,1,0
Illinois,45,0
Indiana,24,0
Iowa,13,0
Kansas,9,0
Kentucky,10,0
Louisiana,23,0
Maine,9,0
Maryland,64,0
Massachusetts,59,0
Michigan,25,0
Minnesota,31,0
Mississippi,17,0
Missouri,18,0
Montana,4,0
Nebraska,6,0
Nevada,13,0
New Hampshire,8,0
New Jersey,66,0
New Mexico,3,0
New York,579,0
North Carolina,35,0
North Dakota,1,0
Ohio,33,0
Oklahoma,19,0
Oregon,14,0
Pennsylvania††,69,0
Rhode Island,25,0
South Carolina,31,0
Tennessee,33,0
Texas,108,0
Utah,6,0
Vermont,6,0
Virginia,62,0
Washington,19,0
West Virginia,10,0
Wisconsin,20,0
American Samoa,0,44
Puerto Rico,34,7855
US Virgin Islands,1,101
