state_or_territory,symptomatic_disease_cases,presumptive_viremic_blood_donors
Alabama,39,0
Arizona,55,1
Arkansas,15,0
California,431,5
Colorado,55,0
Connecticut,58,0
Delaware,17,0
District of Columbia,31,0
Florida‡,1095,24
Georgia,109,0
Hawaii,16,0
Idaho,5,0
Illinois,94,0
Indiana,53,0
Iowa,27,1
Kansas,22,0
Kentucky,33,0
Louisiana,39,0
Maine,14,0
Maryland,133,0
Massachusetts,122,0
Michigan,69,0
Minnesota,64,0
Mississippi,25,0
Missouri,36,0
Montana,9,0
Nebraska,13,0
Nevada,22,2
New Hampshire,12,0
New Jersey,180,0
New Mexico,10,0
New York,1007,3
North Carolina,91,0
North Dakota,3,0
Ohio,85,0
Oklahoma,29,0
Oregon,48,0
Pennsylvania,175,0
Rhode Island,54,0
South Carolina,54,0
South Dakota,2,0
Tennessee,61,0
Texas‡,317,3
Utah,22,0
Vermont,11,0
Virginia,114,0
Washington,70,0
West Virginia,11,0
Wisconsin,50,0
Wyoming,2,0
American Samoa,139,0
Puerto Rico,36967,318
US Virgin Islands,993,0
