state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,2,0
Arizona,1,0
Arkansas,1,0
California,29,0
Colorado,2,0
Connecticut,1,0
Delaware,3,0
District of Columbia,3,0
Florida,78,0
Georgia,11,0
Hawaii,5,0
Illinois,10,0
Indiana,6,0
Iowa,4,0
Kansas,1,0
Kentucky,3,0
Louisiana,4,0
Maine,1,0
Maryland,6,0
Massachusetts,7,0
Michigan,2,0
Minnesota,12,0
Mississippi,2,0
Missouri,2,0
Montana,1,0
Nebraska,2,0
Nevada,2,0
New Hampshire,2,0
New Jersey,5,0
New York,55,0
North Carolina,8,0
Ohio,9,0
Oklahoma,3,0
Oregon,6,0
Pennsylvania,12,0
Tennessee,1,0
Texas,27,0
Utah,2,0
Virginia,8,0
Washington,2,0
West Virginia,5,0
American Samoa,0,14
Puerto Rico,2,325
US Virgin Islands,1,12
