state_or_territory,symptomatic_disease_cases,presumptive_viremic_blood_donors
Alabama,3,0
Alaska,1,0
Arizona,1,0
Arkansas,0,0
California,15,1
Colorado,3,0
Connecticut,0,0
Delaware,0,0
District of Columbia,0,0
Florida,16,3
Georgia,1,0
Hawaii,1,0
Idaho,0,0
Illinois,3,0
Indiana,1,0
Iowa,1,0
Kansas,2,0
Kentucky,1,0
Louisiana,1,0
Maine,1,0
Maryland,5,0
Massachusetts,6,0
Michigan,6,0
Minnesota,0,0
Mississippi,2,0
Missouri,1,0
Montana,0,0
Nebraska,1,0
Nevada,1,0
New Hampshire,0,0
New Jersey,2,0
New Mexico,0,0
New York,27,1
North Carolina,3,0
North Dakota,0,0
Ohio,3,0
Oklahoma,0,0
Oregon,2,0
Pennsylvania,4,1
Rhode Island,3,0
South Carolina,2,0
South Dakota,0,0
Tennessee,0,0
Texas,12,1
Utah,0,0
Vermont,3,0
Virginia,3,0
Washington,2,0
West Virginia,0,1
Wisconsin,2,0
Wyoming,2,0
American Samoa,3,0
Puerto Rico,473,3
U.S. Virgin Islands,37,0
