state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,1,0
Arkansas,1,0
California,13,0
Colorado,2,0
Delaware,1,0
District of Columbia,3,0
Florida,59,0
Georgia,7,0
Hawaii,5,0
Illinois,7,0
Indiana,4,0
Iowa,4,0
Kansas,1,0
Kentucky,1,0
Louisiana,2,0
Maryland,5,0
Massachusetts,3,0
Michigan,2,0
Minnesota,7,0
Missouri,1,0
Montana,1,0
Nebraska,2,0
New Hampshire,2,0
New Jersey,2,0
New York,42,0
North Carolina,6,0
Ohio,8,0
Oklahoma,3,0
Oregon,6,0
Pennsylvania,8,0
Tennessee,1,0
Texas,34,0
Virginia,7,0
Washington,2,0
West Virginia,5,0
American Samoa,0,14
Puerto Rico,2,259
US Virgin Islands,1,10
