state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,24,0
Arizona,20,0
Arkansas,9,0
California,152,0
Colorado,27,0
Connecticut,52,0
Delaware,11,0
District of Columbia,11,0
Florida,507,35
Georgia,69,0
Hawaii,11,0
Idaho,2,0
Illinois,51,0
Indiana,31,0
Iowa,14,0
Kansas,13,0
Kentucky,20,0
Louisiana,26,0
Maine,11,0
Maryland,85,0
Massachusetts,65,0
Michigan,43,0
Minnesota,40,0
Mississippi,18,0
Missouri,23,0
Montana,7,0
Nebraska,8,0
Nevada,13,0
New Hampshire,8,0
New Jersey,91,0
New Mexico,3,0
New York,625,0
North Carolina,48,0
North Dakota,1,0
Ohio,33,0
Oklahoma,20,0
Oregon,19,0
Pennsylvania††,90,0
Rhode Island,28,0
South Carolina,31,0
South Dakota,1,0
Tennessee,37,0
Texas,136,0
Utah,10,0
Vermont,7,0
Virginia,75,0
Washington,26,0
West Virginia,11,0
Wisconsin,24,0
American Samoa,0,47
Puerto Rico,50,13791
US Virgin Islands,1,221
