state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,2,0
Arizona,3,0
Arkansas,4,0
California,44,0
Colorado,2,0
Connecticut,1,0
Delaware,3,0
District of Columbia,6,0
Florida,128,0
Georgia,17,0
Hawaii,8,0
Illinois,16,0
Indiana,7,0
Iowa,6,0
Kansas,2,0
Kentucky,5,0
Louisiana,4,0
Maine,5,0
Maryland,19,0
Massachusetts,17,0
Michigan,6,0
Minnesota,17,0
Mississippi,3,0
Missouri,4,0
Montana,1,0
Nebraska,2,0
Nevada,6,0
New Hampshire,4,0
New Jersey,14,0
New Mexico,1,0
New York,130,0
North Carolina,12,0
Ohio,12,0
Oklahoma,4,0
Oregon,6,0
Pennsylvania,19,0
Rhode Island,4,0
South Carolina,1,0
Tennessee,4,0
Texas,36,0
Utah,2,0
Vermont,1,0
Virginia,18,0
Washington,4,0
West Virginia,6,0
Wisconsin,2,0
American Samoa,0,17
Puerto Rico,3,1072
US Virgin Islands,1,21
