state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,28,0
Arizona,36,0
Arkansas,11,0
California,296,0
Colorado,43,0
Connecticut,58,0
Delaware,15,0
District of Columbia,25,0
Florida,708,137
Georgia,90,0
Hawaii,14,0
Idaho,4,0
Illinois,76,0
Indiana,39,0
Iowa,16,0
Kansas,15,0
Kentucky,24,0
Louisiana,34,0
Maine,12,0
Maryland,104,0
Massachusetts,100,0
Michigan,62,0
Minnesota,47,0
Mississippi,23,0
Missouri,27,0
Montana,7,0
Nebraska,12,0
Nevada,14,0
New Hampshire,10,0
New Jersey,134,0
New Mexico,9,0
New York,884,0
North Carolina,72,0
North Dakota,2,0
Ohio,53,0
Oklahoma,27,0
Oregon,29,0
Pennsylvania††,141,0
Rhode Island,32,0
South Carolina,51,0
South Dakota,2,0
Tennessee,53,0
Texas,231,0
Utah,14,0
Vermont,7,0
Virginia,87,0
Washington,45,0
West Virginia,11,0
Wisconsin,43,0
Wyoming,2,0
American Samoa,7,47
Puerto Rico,79,26798
US Virgin Islands,2,469
