state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,2,0
Arizona,7,0
Arkansas,5,0
California,69,0
Colorado,12,0
Connecticut,30,0
Delaware,8,0
District of Columbia,9,0
Florida,229,0
Georgia,33,0
Hawaii,10,0
Illinois,23,0
Indiana,12,0
Iowa,9,0
Kansas,5,0
Kentucky,7,0
Louisiana,7,0
Maine,7,0
Maryland,35,0
Massachusetts,49,0
Michigan,13,0
Minnesota,21,0
Mississippi,8,0
Missouri,8,0
Montana,1,0
Nebraska,3,0
Nevada,9,0
New Hampshire,4,0
New Jersey,50,0
New Mexico,3,0
New York,339,0
North Carolina,18,0
Ohio,25,0
Oklahoma,12,0
Oregon,12,0
Pennsylvania††,39,0
Rhode Island,16,0
South Carolina,13,0
Tennessee,14,0
Texas,57,0
Utah,5,0
Vermont,3,0
Virginia,38,0
Washington,11,0
West Virginia,7,0
Wisconsin,9,0
American Samoa,2,41
Puerto Rico,8,2843
US Virgin Islands,1,21
