state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,24,0
Arizona,22,0
Arkansas,9,0
California,210,0
Colorado,27,0
Connecticut,58,0
Delaware,11,0
District of Columbia,11,0
Florida,571,43
Georgia,75,0
Hawaii,11,0
Idaho,2,0
Illinois,51,0
Indiana,32,0
Iowa,15,0
Kansas,13,0
Kentucky,20,0
Louisiana,26,0
Maine,11,0
Maryland,89,0
Massachusetts,67,0
Michigan,45,0
Minnesota,39,0
Mississippi,20,0
Missouri,26,0
Montana,7,0
Nebraska,8,0
Nevada,14,0
New Hampshire,8,0
New Jersey,91,0
New Mexico,4,0
New York,661,0
North Carolina,52,0
North Dakota,1,0
Ohio,36,0
Oklahoma,20,0
Oregon,19,0
Pennsylvania††,95,0
Rhode Island,29,0
South Carolina,31,0
South Dakota,1,0
Tennessee,38,0
Texas,161,0
Utah,12,0
Vermont,7,0
Virginia,78,0
Washington,28,0
West Virginia,11,0
Wisconsin,24,0
American Samoa,0,47
Puerto Rico,59,15541
US Virgin Islands,1,221
