state_or_territory,travel_associated_cases,locally_acquired_cases
Alabama,34,0
Arizona,53,0
Arkansas,15,0
California,400,0
Colorado,50,0
Connecticut,58,0
Delaware,17,0
District of Columbia,31,0
Florida,836,211
Georgia,106,0
Hawaii,16,0
Idaho,5,0
Illinois,91,0
Indiana,51,0
Iowa,21,0
Kansas,19,0
Kentucky,31,0
Louisiana,37,0
Maine,13,0
Maryland,129,0
Massachusetts,116,0
Michigan,65,0
Minnesota,64,0
Mississippi,23,0
Missouri,35,0
Montana,8,0
Nebraska,13,0
Nevada,19,0
New Hampshire,12,0
New Jersey,173,0
New Mexico,9,0
New York,1001,0
North Carolina,86,0
North Dakota,2,0
Ohio,82,0
Oklahoma,29,0
Oregon,43,0
Pennsylvania††,171,0
Rhode Island,51,0
South Carolina,54,0
South Dakota,2,0
Tennessee,59,0
Texas,291,6
Utah,21,0
Vermont,11,0
Virginia,107,0
Washington,62,0
West Virginia,11,0
Wisconsin,48,0
Wyoming,2,0
American Samoa,1,117
Puerto Rico,132,34358
US Virgin Islands,2,917
