department,municipality,zika_confirmed_laboratory,zika_confirmed_clinic,zika_suspected,zika_total
ANTIOQUIA,* ANTIOQUIA. MUNICIPIO DESCONOCIDO,1,1,0,2
ANTIOQUIA,MEDELLIN,36,19,0,55
ANTIOQUIA,ABEJORRAL,0,0,0,0
ANTIOQUIA,ABRIAQUI,0,0,0,0
ANTIOQUIA,ALEJANDRIA,0,0,0,0
ANTIOQUIA,AMAGA,0,0,0,0
ANTIOQUIA,AMALFI,0,0,0,0
ANTIOQUIA,ANDES,0,0,0,0
ANTIOQUIA,ANGELOPOLIS,0,0,0,0
ANTIOQUIA,ANGOSTURA,0,0,0,0
ANTIOQUIA,ANORI,0,0,0,0
ANTIOQUIA,SANTAFE DE ANTIOQUIA,0,0,0,0
ANTIOQUIA,ANZA,0,0,0,0
ANTIOQUIA,APARTADO,1,1,0,2
ANTIOQUIA,ARBOLETES,0,0,0,0
ANTIOQUIA,ARGELIA,0,0,0,0
ANTIOQUIA,ARMENIA,0,0,0,0
ANTIOQUIA,BARBOSA,0,0,1,1
ANTIOQUIA,BELMIRA,0,0,0,0
ANTIOQUIA,BELLO,6,1,0,7
ANTIOQUIA,BETANIA,0,0,0,0
ANTIOQUIA,BETULIA,0,0,0,0
ANTIOQUIA,CIUDAD BOLIVAR,2,0,0,2
ANTIOQUIA,BRICEÑO,0,0,0,0
ANTIOQUIA,BURITICA,0,0,0,0
ANTIOQUIA,CACERES,0,0,0,0
ANTIOQUIA,CAICEDO,0,0,0,0
ANTIOQUIA,CALDAS,0,0,0,0
ANTIOQUIA,CAMPAMENTO,0,0,0,0
ANTIOQUIA,CAÑASGORDAS,2,0,0,2
ANTIOQUIA,CARACOLI,0,0,0,0
ANTIOQUIA,CARAMANTA,0,0,0,0
ANTIOQUIA,CAREPA,0,0,2,2
ANTIOQUIA,EL CARMEN DE VIBORAL,0,0,0,0
ANTIOQUIA,CAROLINA,0,0,0,0
ANTIOQUIA,CAUCASIA,3,9,0,12
ANTIOQUIA,CHIGORODO,0,0,0,0
ANTIOQUIA,CISNEROS,0,0,0,0
ANTIOQUIA,COCORNA,1,0,0,1
ANTIOQUIA,CONCEPCION,0,0,0,0
ANTIOQUIA,CONCORDIA,0,0,0,0
ANTIOQUIA,COPACABANA,0,0,0,0
ANTIOQUIA,DABEIBA,0,0,0,0
ANTIOQUIA,DON MATIAS,0,0,0,0
ANTIOQUIA,EBEJICO,0,0,0,0
ANTIOQUIA,EL BAGRE,1,0,0,1
ANTIOQUIA,ENTRERRIOS,0,0,0,0
ANTIOQUIA,ENVIGADO,0,0,1,1
ANTIOQUIA,FREDONIA,0,0,0,0
ANTIOQUIA,FRONTINO,0,0,0,0
ANTIOQUIA,GIRALDO,0,0,0,0
ANTIOQUIA,GIRARDOTA,1,0,0,1
ANTIOQUIA,GOMEZ PLATA,0,0,0,0
ANTIOQUIA,GRANADA,0,0,0,0
ANTIOQUIA,GUADALUPE,0,0,0,0
ANTIOQUIA,GUARNE,0,0,0,0
ANTIOQUIA,GUATAPE,0,0,2,2
ANTIOQUIA,HELICONIA,0,0,0,0
ANTIOQUIA,HISPANIA,1,0,0,1
ANTIOQUIA,ITAGUI,4,0,0,4
ANTIOQUIA,ITUANGO,0,0,0,0
ANTIOQUIA,JARDIN,0,0,0,0
ANTIOQUIA,JERICO,0,0,0,0
ANTIOQUIA,LA CEJA,0,0,0,0
ANTIOQUIA,LA ESTRELLA,0,0,0,0
ANTIOQUIA,LA PINTADA,0,0,0,0
ANTIOQUIA,LA UNION,0,0,0,0
ANTIOQUIA,LIBORINA,0,0,0,0
ANTIOQUIA,MACEO,2,0,0,2
ANTIOQUIA,MARINILLA,0,0,0,0
ANTIOQUIA,MONTEBELLO,0,0,0,0
ANTIOQUIA,MURINDO,0,0,0,0
ANTIOQUIA,MUTATA,1,0,0,1
ANTIOQUIA,NARIÑO,0,0,0,0
ANTIOQUIA,NECOCLI,0,0,0,0
ANTIOQUIA,NECHI,0,0,0,0
ANTIOQUIA,OLAYA,0,0,0,0
ANTIOQUIA,PEÐOL,0,0,0,0
ANTIOQUIA,PEQUE,0,0,0,0
ANTIOQUIA,PUEBLORRICO,0,0,0,0
ANTIOQUIA,PUERTO BERRIO,0,0,2,2
ANTIOQUIA,PUERTO NARE,1,1,0,2
ANTIOQUIA,PUERTO TRIUNFO,0,0,1,1
ANTIOQUIA,REMEDIOS,0,0,0,0
ANTIOQUIA,RETIRO,0,0,0,0
ANTIOQUIA,RIONEGRO,1,0,0,1
ANTIOQUIA,SABANALARGA,0,0,2,2
ANTIOQUIA,SABANETA,0,0,0,0
ANTIOQUIA,SALGAR,0,0,0,0
ANTIOQUIA,SAN ANDRES DE CUERQUIA,0,0,2,2
ANTIOQUIA,SAN CARLOS,1,0,0,1
ANTIOQUIA,SAN FRANCISCO,0,0,0,0
ANTIOQUIA,SAN JERONIMO,0,0,0,0
ANTIOQUIA,SAN JOSE DE LA MONTAÑA,0,0,0,0
ANTIOQUIA,SAN JUAN DE URABA,0,0,0,0
ANTIOQUIA,SAN LUIS,3,0,0,3
ANTIOQUIA,SAN PEDRO,0,0,0,0
ANTIOQUIA,SAN PEDRO DE URABA,0,0,0,0
ANTIOQUIA,SAN RAFAEL,0,0,0,0
ANTIOQUIA,SAN ROQUE,0,0,0,0
ANTIOQUIA,SAN VICENTE,0,0,0,0
ANTIOQUIA,SANTA BARBARA,0,0,0,0
ANTIOQUIA,SANTA ROSA DE OSOS,0,0,0,0
ANTIOQUIA,SANTO DOMINGO,0,0,0,0
ANTIOQUIA,EL SANTUARIO,0,0,0,0
ANTIOQUIA,SEGOVIA,0,0,0,0
ANTIOQUIA,SONSON,0,0,0,0
ANTIOQUIA,SOPETRAN,0,0,0,0
ANTIOQUIA,TAMESIS,0,0,0,0
ANTIOQUIA,TARAZA,1,0,0,1
ANTIOQUIA,TARSO,0,0,0,0
ANTIOQUIA,TITIRIBI,0,0,0,0
ANTIOQUIA,TOLEDO,0,0,0,0
ANTIOQUIA,TURBO,1,10,0,11
ANTIOQUIA,URAMITA,1,0,0,1
ANTIOQUIA,URRAO,0,0,0,0
ANTIOQUIA,VALDIVIA,0,0,0,0
ANTIOQUIA,VALPARAISO,4,0,0,4
ANTIOQUIA,VEGACHI,0,0,0,0
ANTIOQUIA,VENECIA,0,0,0,0
ANTIOQUIA,VIGIA DEL FUERTE,0,0,0,0
ANTIOQUIA,YALI,0,0,0,0
ANTIOQUIA,YARUMAL,0,0,0,0
ANTIOQUIA,YOLOMBO,0,0,0,0
ANTIOQUIA,YONDO,0,0,0,0
ANTIOQUIA,ZARAGOZA,0,0,0,0
BARRANQUILLA,BARRANQUILLA,6,1396,0,1402
ATLANTICO,* ATLANTICO. MUNICIPIO DESCONOCIDO,0,0,1,1
ATLANTICO,BARANOA,1,7,0,8
ATLANTICO,CAMPO DE LA CRUZ,0,0,0,0
ATLANTICO,CANDELARIA,0,0,1,1
ATLANTICO,GALAPA,0,0,17,17
ATLANTICO,JUAN DE ACOSTA,0,0,1,1
ATLANTICO,LURUACO,0,0,13,13
ATLANTICO,MALAMBO,1,44,0,45
ATLANTICO,MANATI,0,0,0,0
ATLANTICO,PALMAR DE VARELA,0,0,3,3
ATLANTICO,PIOJO,0,0,0,0
ATLANTICO,POLONUEVO,0,0,1,1
ATLANTICO,PONEDERA,0,0,0,0
ATLANTICO,PUERTO COLOMBIA,1,81,0,82
ATLANTICO,REPELON,1,2,0,3
ATLANTICO,SABANAGRANDE,0,0,6,6
ATLANTICO,SABANALARGA,0,0,29,29
ATLANTICO,SANTA LUCIA,0,0,0,0
ATLANTICO,SANTO TOMAS,1,7,0,8
ATLANTICO,SOLEDAD,0,0,320,320
ATLANTICO,SUAN,0,0,0,0
ATLANTICO,TUBARA,1,25,0,26
ATLANTICO,USIACURI,1,12,0,13
BOGOTA,"BOGOTA, D.C.",0,0,24,24
BOGOTA,BOGOTÁ - USAQUÉN-LOS CEDROS,0,0,0,0
BOGOTA,BOGOTÁ - USAQUÉN-SANTA BÁRBARA,0,0,0,0
BOGOTA,BOGOTÁ - BARRIOS UNIDOS-LOS ANDES,0,0,0,0
BOGOTA,BOGOTÁ - BARRIOS UNIDOS-12 DE OCTUBRE,0,0,0,0
BOGOTA,BOGOTÁ - SAN CRISTÓBAL-SOCIEGO,0,0,0,0
BOGOTA,BOGOTÁ - TUNJUELITO-VENECIA,0,0,0,0
BOGOTA,BOGOTÁ - PUENTE ARANDA-SAN RAFAEL,0,0,0,0
BOGOTA,BOGOTÁ - KENNEDY-AMÉRICAS,0,0,0,0
BOGOTA,BOGOTÁ - KENNEDY-KENNEDY CENTRAL,0,0,0,0
BOGOTA,BOGOTÁ - TUNJUELITO-TUNJUELITO,0,0,0,0
BOGOTA,BOGOTÁ - CIUDAD BOLÍVAR-SAN FRANCISCO,0,0,0,0
BOGOTA,BOGOTÁ - ENGATIVÁ-ENGATIVÁ,0,0,0,0
BOGOTA,BOGOTÁ - FONTIBÓN-FONTIBÓN,0,0,0,0
BOGOTA,BOGOTÁ - BOSA-BOSA CENTRAL,0,0,0,0
BOGOTA,BOGOTÁ - BOSA-TINTAL SUR,0,0,0,0
BOGOTA,BOGOTÁ - LA CANDELARIA-LA CANDELARIA,0,0,0,0
BOGOTA,BOGOTÁ - CHAPINERO-CHICO LAGO,0,0,0,0
BOGOTA,BOGOTÁ - CHAPINERO-CHAPINERO,0,0,0,0
BOGOTA,BOGOTÁ - TEUSAQUILLO-TEUSAQUILLO,0,0,0,0
BOGOTA,BOGOTÁ - TEUSAQUILLO-LA ESMERALDA,0,0,0,0
BOGOTA,BOGOTÁ - TEUSAQUILLO-QUINTA PAREDES,0,0,0,0
BOGOTA,BOGOTÁ - TEUSAQUILLO-CIUDAD SALITRE ORIENTAL,0,0,0,0
CARTAGENA,CARTAGENA,52,622,0,674
BOLIVAR,* BOLIVAR. MUNICIPIO DESCONOCIDO,2,0,0,2
BOLIVAR,ACHI,0,0,0,0
BOLIVAR,ALTOS DEL ROSARIO,0,0,0,0
BOLIVAR,ARENAL,0,0,19,19
BOLIVAR,ARJONA,3,7,0,10
BOLIVAR,ARROYOHONDO,0,0,0,0
BOLIVAR,BARRANCO DE LOBA,0,0,4,4
BOLIVAR,CALAMAR,0,0,0,0
BOLIVAR,CANTAGALLO,0,0,0,0
BOLIVAR,CICUCO,0,0,1,1
BOLIVAR,CORDOBA,1,4,0,5
BOLIVAR,CLEMENCIA,0,0,0,0
BOLIVAR,EL CARMEN DE BOLIVAR,1,6,0,7
BOLIVAR,EL GUAMO,0,0,0,0
BOLIVAR,EL PEÑON,0,0,0,0
BOLIVAR,HATILLO DE LOBA,0,0,0,0
BOLIVAR,MAGANGUE,2,18,0,20
BOLIVAR,MAHATES,0,0,30,30
BOLIVAR,MARGARITA,0,0,0,0
BOLIVAR,MARIA LA BAJA,2,1,0,3
BOLIVAR,MONTECRISTO,0,0,0,0
BOLIVAR,MOMPOS,0,0,9,9
BOLIVAR,NOROSI,0,0,1,1
BOLIVAR,MORALES,0,0,0,0
BOLIVAR,PINILLOS,0,0,0,0
BOLIVAR,REGIDOR,0,0,0,0
BOLIVAR,RIO VIEJO,1,0,0,1
BOLIVAR,SAN CRISTOBAL,0,0,0,0
BOLIVAR,SAN ESTANISLAO,0,0,0,0
BOLIVAR,SAN FERNANDO,0,0,1,1
BOLIVAR,SAN JACINTO,3,22,0,25
BOLIVAR,SAN JACINTO DEL CAUCA,0,0,0,0
BOLIVAR,SAN JUAN NEPOMUCENO,2,43,0,45
BOLIVAR,SAN MARTIN DE LOBA,0,0,0,0
BOLIVAR,SAN PABLO,0,0,0,0
BOLIVAR,SANTA CATALINA,0,0,0,0
BOLIVAR,SANTA ROSA,3,1,0,4
BOLIVAR,SANTA ROSA DEL SUR,13,11,0,24
BOLIVAR,SIMITI,0,0,0,0
BOLIVAR,SOPLAVIENTO,0,0,1,1
BOLIVAR,TALAIGUA NUEVO,0,0,0,0
BOLIVAR,TIQUISIO,0,0,0,0
BOLIVAR,TURBACO,58,215,0,273
BOLIVAR,TURBANA,0,0,7,7
BOLIVAR,VILLANUEVA,0,0,7,7
BOLIVAR,ZAMBRANO,0,0,0,0
BOYACA,* BOYACA. MUNICIPIO DESCONOCIDO,0,0,0,0
BOYACA,TUNJA,0,0,0,0
BOYACA,ALMEIDA,0,0,0,0
