department,municipality,zika_confirmed_laboratory,zika_confirmed_clinic,zika_suspected,zika_total
ANTIOQUIA,* ANTIOQUIA. MUNICIPIO DESCONOCIDO,1,0,5,6
ANTIOQUIA,MEDELLIN,40,94,0,134
ANTIOQUIA,ABEJORRAL,0,0,2,2
ANTIOQUIA,ABRIAQUI,0,0,0,0
ANTIOQUIA,ALEJANDRIA,0,0,0,0
ANTIOQUIA,AMAGA,0,0,1,1
ANTIOQUIA,AMALFI,0,0,0,0
ANTIOQUIA,ANDES,0,0,0,0
ANTIOQUIA,ANGELOPOLIS,0,0,0,0
ANTIOQUIA,ANGOSTURA,0,0,0,0
ANTIOQUIA,ANORI,0,0,0,0
ANTIOQUIA,SANTAFE DE ANTIOQUIA,0,0,9,9
ANTIOQUIA,ANZA,0,0,0,0
ANTIOQUIA,APARTADO,3,36,0,39
ANTIOQUIA,ARBOLETES,0,0,4,4
ANTIOQUIA,ARGELIA,0,0,0,0
ANTIOQUIA,ARMENIA,0,0,1,1
ANTIOQUIA,BARBOSA,0,0,1,1
ANTIOQUIA,BELMIRA,0,0,0,0
ANTIOQUIA,BELLO,6,7,0,13
ANTIOQUIA,BETANIA,0,0,0,0
ANTIOQUIA,BETULIA,0,0,0,0
ANTIOQUIA,CIUDAD BOLIVAR,2,2,0,4
ANTIOQUIA,BRICEÑO,0,0,0,0
ANTIOQUIA,BURITICA,0,0,0,0
ANTIOQUIA,CACERES,0,0,1,1
ANTIOQUIA,CAICEDO,0,0,0,0
ANTIOQUIA,CALDAS,1,0,0,1
ANTIOQUIA,CAMPAMENTO,0,0,0,0
ANTIOQUIA,CAÑASGORDAS,2,0,0,2
ANTIOQUIA,CARACOLI,0,0,0,0
ANTIOQUIA,CARAMANTA,0,0,0,0
ANTIOQUIA,CAREPA,0,0,18,18
ANTIOQUIA,EL CARMEN DE VIBORAL,0,0,1,1
ANTIOQUIA,CAROLINA,0,0,0,0
ANTIOQUIA,CAUCASIA,3,45,0,48
ANTIOQUIA,CHIGORODO,0,0,34,34
ANTIOQUIA,CISNEROS,0,0,0,0
ANTIOQUIA,COCORNA,0,0,0,0
ANTIOQUIA,CONCEPCION,0,0,0,0
ANTIOQUIA,CONCORDIA,0,0,0,0
ANTIOQUIA,COPACABANA,0,0,1,1
ANTIOQUIA,DABEIBA,0,0,0,0
ANTIOQUIA,DON MATIAS,0,0,0,0
ANTIOQUIA,EBEJICO,0,0,3,3
ANTIOQUIA,EL BAGRE,1,0,0,1
ANTIOQUIA,ENTRERRIOS,0,0,0,0
ANTIOQUIA,ENVIGADO,0,0,4,4
ANTIOQUIA,FREDONIA,0,0,0,0
ANTIOQUIA,FRONTINO,0,0,0,0
ANTIOQUIA,GIRALDO,0,0,0,0
ANTIOQUIA,GIRARDOTA,1,0,0,1
ANTIOQUIA,GOMEZ PLATA,0,0,0,0
ANTIOQUIA,GRANADA,0,0,1,1
ANTIOQUIA,GUADALUPE,0,0,0,0
ANTIOQUIA,GUARNE,0,0,0,0
ANTIOQUIA,GUATAPE,0,0,3,3
ANTIOQUIA,HELICONIA,0,0,1,1
ANTIOQUIA,HISPANIA,1,0,0,1
ANTIOQUIA,ITAGUI,4,10,0,14
ANTIOQUIA,ITUANGO,0,0,0,0
ANTIOQUIA,JARDIN,0,0,0,0
ANTIOQUIA,JERICO,0,0,0,0
ANTIOQUIA,LA CEJA,0,0,0,0
ANTIOQUIA,LA ESTRELLA,0,0,1,1
ANTIOQUIA,LA PINTADA,0,0,1,1
ANTIOQUIA,LA UNION,0,0,1,1
ANTIOQUIA,LIBORINA,0,0,1,1
ANTIOQUIA,MACEO,3,0,0,3
ANTIOQUIA,MARINILLA,0,0,0,0
ANTIOQUIA,MONTEBELLO,0,0,0,0
ANTIOQUIA,MURINDO,0,0,0,0
ANTIOQUIA,MUTATA,1,1,0,2
ANTIOQUIA,NARIÑO,0,0,3,3
ANTIOQUIA,NECOCLI,0,0,9,9
ANTIOQUIA,NECHI,0,0,1,1
ANTIOQUIA,OLAYA,0,0,1,1
ANTIOQUIA,PEÐOL,0,0,0,0
ANTIOQUIA,PEQUE,0,0,0,0
ANTIOQUIA,PUEBLORRICO,0,0,0,0
ANTIOQUIA,PUERTO BERRIO,0,0,9,9
ANTIOQUIA,PUERTO NARE,1,1,0,2
ANTIOQUIA,PUERTO TRIUNFO,1,18,0,19
ANTIOQUIA,REMEDIOS,0,0,0,0
ANTIOQUIA,RETIRO,0,0,0,0
ANTIOQUIA,RIONEGRO,1,0,0,1
ANTIOQUIA,SABANALARGA,0,0,2,2
ANTIOQUIA,SABANETA,0,0,1,1
ANTIOQUIA,SALGAR,0,0,1,1
ANTIOQUIA,SAN ANDRES DE CUERQUIA,0,0,3,3
ANTIOQUIA,SAN CARLOS,1,0,0,1
ANTIOQUIA,SAN FRANCISCO,0,0,0,0
ANTIOQUIA,SAN JERONIMO,0,0,0,0
ANTIOQUIA,SAN JOSE DE LA MONTAÑA,0,0,0,0
ANTIOQUIA,SAN JUAN DE URABA,0,0,4,4
ANTIOQUIA,SAN LUIS,3,0,0,3
ANTIOQUIA,SAN PEDRO,0,0,1,1
ANTIOQUIA,SAN PEDRO DE URABA,0,0,5,5
ANTIOQUIA,SAN RAFAEL,0,0,0,0
ANTIOQUIA,SAN ROQUE,0,0,1,1
ANTIOQUIA,SAN VICENTE,0,0,0,0
ANTIOQUIA,SANTA BARBARA,0,0,0,0
ANTIOQUIA,SANTA ROSA DE OSOS,0,0,0,0
ANTIOQUIA,SANTO DOMINGO,0,0,0,0
ANTIOQUIA,EL SANTUARIO,0,0,0,0
ANTIOQUIA,SEGOVIA,0,0,0,0
ANTIOQUIA,SONSON,0,0,0,0
ANTIOQUIA,SOPETRAN,0,0,2,2
ANTIOQUIA,TAMESIS,0,0,0,0
ANTIOQUIA,TARAZA,1,0,0,1
ANTIOQUIA,TARSO,0,0,0,0
ANTIOQUIA,TITIRIBI,0,0,0,0
