no,state,cases_under_investigation,cases_confirmed,cases_discarded,cases_reported_total
1,Alagoas,104,15,66,185
2,Bahia,508,99,46,653
3,Ceará,234,7,10,251
4,Maranhão,132,0,16,148
5,Paraíba,460,37,253,750
6,Pernambuco,1159,153,135,1447
7,Piauí,66,27,10,103
8,Rio Grande do Norte,154,63,15,232
9,Sergipe,178,0,0,178
10,Espírito Santo,52,0,0,52
11,Minas Gerais,21,0,37,58
12,Rio de Janeiro,196,2,10,208
13,São Paulo,101,0,25,126
14,Acre,20,0,0,20
15,Amapá,Sem registros,Sem registros,Sem registros,Sem registros 
16,Amazonas,Sem registros,Sem registros,Sem registros,Sem registros 
17,Pará,6,0,0,6
18,Rondônia,1,0,0,1
19,Roraima,7,0,0,7
20,Tocantins,84,0,17,101
21,Distrito Federal,3,0,12,15
22,Goiás,69,0,0,69
23,Mato Grosso,111,0,46,157
24,Mato Grosso do Sul,3,0,1,4
25,Paraná,1,0,9,10
26,Santa Catarina,0,0,1,1
27,Rio Grande do Sul,0,1,0,1
